Date,Open,High,Low,Close,Volume,Adj Close
2006-12-29,570.00,572.00,563.80,567.50,45365800,418.51
2006-12-28,575.00,575.00,568.00,571.50,19042700,421.46
2006-12-27,570.50,576.50,568.00,574.50,29670500,423.67
2006-12-26,571.50,571.50,571.50,571.50,000,421.46
2006-12-25,571.50,571.50,571.50,571.50,000,421.46
2006-12-22,565.00,572.00,563.00,571.50,25727300,421.46
2006-12-21,567.50,572.50,563.00,567.00,75734700,418.14
2006-12-20,577.00,569.50,568.50,569.50,42230800,419.98
2006-12-19,572.00,576.58,570.00,573.00,115186500,422.56
2006-12-18,579.50,587.50,572.82,575.50,75769400,424.41
2006-12-15,577.00,585.00,574.00,580.00,122378800,427.73
2006-12-14,580.50,583.00,577.00,577.00,95837400,425.51
2006-12-13,577.00,582.00,575.50,579.50,80680500,427.36
2006-12-12,582.00,583.50,575.50,580.50,75557300,428.09
2006-12-11,583.50,586.00,577.50,584.50,84470800,431.04
2006-12-08,580.00,584.00,576.50,582.50,69756000,429.57
2006-12-07,577.50,579.50,574.50,578.00,49731100,426.25
2006-12-06,578.50,582.20,572.25,579.50,107035700,427.36
2006-12-05,571.00,675.25,567.50,578.00,103339600,426.25
2006-12-04,572.00,576.04,566.50,567.50,61132200,418.51
2006-12-01,577.50,567.50,565.00,567.50,59199200,418.51
2006-11-30,583.00,587.42,573.50,574.00,103767100,423.30
2006-11-29,578.00,579.50,570.50,578.50,86728700,426.62
2006-11-28,571.50,578.74,574.00,574.00,60071900,423.30
2006-11-27,576.50,579.50,570.27,571.00,78938100,421.09
2006-11-24,573.00,577.37,566.00,574.50,109968600,423.67
2006-11-23,581.50,650.00,570.50,573.00,70315800,422.56
2006-11-22,587.50,592.00,577.00,578.00,102501100,426.25
2006-11-21,582.50,590.00,582.50,585.00,67302400,431.41
2006-11-20,580.00,588.04,484.28,584.00,83741600,430.68
2006-11-17,589.50,590.38,550.00,582.00,137708300,429.20
2006-11-16,596.00,605.01,593.00,598.00,65463700,441.00
2006-11-15,596.50,600.24,591.00,596.50,79371800,439.89
2006-11-14,591.00,596.00,585.00,593.00,94877800,437.31
2006-11-13,596.50,599.28,586.00,590.00,118101400,435.10
2006-11-10,600.50,608.00,593.82,598.00,96802400,441.00
2006-11-09,603.50,610.50,597.00,601.50,86302300,443.58
2006-11-08,593.50,603.00,591.50,599.50,88535900,442.11
2006-11-07,600.00,697.60,586.45,598.50,84542600,437.50
2006-11-06,590.50,602.00,584.70,597.00,75544200,436.41
2006-11-03,586.00,592.50,584.00,590.00,86928600,431.29
2006-11-02,587.50,591.50,583.29,586.50,70805600,428.73
2006-11-01,585.50,595.00,583.50,586.50,75508200,428.73
2006-10-31,589.00,593.00,579.85,583.00,115795000,426.17
2006-10-30,599.00,610.73,591.50,591.50,76237200,432.39
2006-10-27,602.50,607.00,598.50,602.00,91112500,440.06
2006-10-26,616.50,620.10,604.50,606.50,108899800,443.35
2006-10-25,607.00,614.00,605.25,612.50,95623500,447.74
2006-10-24,600.00,611.18,596.10,608.00,92323700,444.45
2006-10-23,603.00,604.47,593.00,601.50,112405000,439.70
2006-10-20,606.50,610.00,601.00,602.00,84886500,440.06
2006-10-19,594.00,604.50,592.91,600.50,74058100,438.97
2006-10-18,604.00,609.00,596.50,601.00,101670600,439.33
2006-10-17,603.00,612.00,590.61,602.00,111592500,440.06
2006-10-16,594.50,603.00,591.83,600.00,93942100,438.60
2006-10-13,583.00,595.50,580.13,592.00,132196500,432.75
2006-10-12,575.00,582.50,571.82,581.00,68154900,424.71
2006-10-11,579.50,581.50,573.64,576.50,105158800,421.42
2006-10-10,576.00,582.00,572.64,578.00,93877300,422.52
2006-10-09,574.50,583.40,572.51,578.50,52285100,422.88
2006-10-06,576.00,577.79,569.93,572.50,91033500,418.50
2006-10-05,577.50,580.00,572.43,575.00,130935900,420.33
2006-10-04,560.00,577.37,557.38,570.00,116132600,416.67
2006-10-03,579.50,579.50,566.00,568.50,142792700,415.57
2006-10-02,586.00,587.25,582.00,582.50,82577700,425.81
2006-09-29,587.50,589.94,574.32,582.00,58742500,425.44
2006-09-28,584.00,590.50,582.62,587.00,73583400,429.10
2006-09-27,574.50,584.08,572.81,579.00,95546200,423.25
2006-09-26,569.00,573.86,562.00,571.00,96050900,417.40
2006-09-25,573.50,574.86,549.92,563.50,160563800,411.92
2006-09-22,581.00,585.00,574.00,574.00,96736400,419.59
2006-09-21,575.00,579.00,572.00,579.00,100951600,423.25
2006-09-20,577.00,587.50,576.08,579.50,225478400,423.62
2006-09-19,582.50,591.50,579.00,580.50,106039700,424.35
2006-09-18,575.50,584.50,476.21,579.00,117405800,423.25
2006-09-15,580.00,573.00,573.00,573.00,139151800,418.86
2006-09-14,594.50,601.49,583.78,584.50,104586700,427.27
2006-09-13,583.50,591.00,577.33,589.00,94341200,430.56
2006-09-12,581.50,588.60,577.50,582.00,104147300,425.44
2006-09-11,587.00,591.22,548.90,583.00,86226300,426.17
2006-09-08,585.00,594.00,584.00,591.00,93576900,432.02
2006-09-07,592.50,613.50,515.00,584.00,93361900,426.90
2006-09-06,603.00,606.00,595.00,595.50,65947500,435.31
2006-09-05,595.50,603.50,592.19,601.50,87761600,439.70
2006-09-04,596.00,601.00,587.50,594.50,61550500,434.58
2006-09-01,598.00,600.00,590.00,596.00,61945900,435.68
2006-08-31,593.50,603.00,589.87,597.00,155654000,436.41
2006-08-30,592.00,599.99,589.00,592.00,126586300,432.75
2006-08-29,601.00,609.25,586.35,593.00,86033300,433.48
2006-08-28,605.50,605.50,605.50,605.50,000,442.62
2006-08-25,607.50,619.97,602.50,605.50,42236900,442.62
2006-08-24,609.00,611.82,602.00,607.50,45167000,444.08
2006-08-23,617.50,619.50,609.00,610.00,47201500,445.91
2006-08-22,620.00,622.00,614.00,616.00,63512400,450.30
2006-08-21,617.00,628.82,614.00,619.00,77342800,452.49
2006-08-18,609.00,619.00,609.00,614.00,111011300,448.83
2006-08-17,603.50,610.22,600.00,609.00,93577400,445.18
2006-08-16,616.00,617.17,604.50,608.00,96037600,444.45
2006-08-15,614.50,618.50,610.78,614.50,53919900,449.20
2006-08-14,613.00,623.32,611.00,616.00,50840100,450.30
2006-08-11,617.00,621.50,607.00,611.00,49628700,446.64
2006-08-10,615.00,619.50,608.50,615.00,79211500,449.57
2006-08-09,612.50,640.21,607.50,619.50,75818200,452.86
2006-08-08,620.00,623.00,243.00,614.00,175154900,444.95
2006-08-07,625.00,628.00,619.21,622.50,89442000,451.11
2006-08-04,637.00,646.85,626.57,636.00,42133900,460.89
2006-08-03,649.50,651.00,635.88,637.00,66860400,461.61
2006-08-02,645.00,651.00,348.75,651.00,51111500,471.76
2006-08-01,648.50,651.50,639.30,642.00,52819200,465.24
2006-07-31,649.50,652.00,618.57,645.00,44620300,467.41
2006-07-28,642.50,653.15,642.50,651.00,40704900,471.76
2006-07-27,639.50,651.73,636.95,648.50,78717900,469.95
2006-07-26,629.00,635.00,629.00,634.50,70982300,459.80
2006-07-25,632.00,636.04,536.50,630.00,69863900,456.54
2006-07-24,614.50,633.50,614.00,633.50,66608300,459.08
2006-07-21,619.00,622.50,616.50,619.50,57423900,448.93
2006-07-20,630.50,633.00,612.29,625.00,53268600,452.92
2006-07-19,635.00,635.00,623.84,631.00,83579500,457.27
2006-07-18,635.50,640.00,629.19,634.50,52958300,459.80
2006-07-17,646.50,649.00,638.00,640.00,76309300,463.79
2006-07-14,644.00,649.00,639.50,643.00,61457600,465.96
2006-07-13,641.00,643.50,634.50,641.00,55440700,464.51
2006-07-12,640.00,645.00,622.90,640.00,70120600,463.79
2006-07-11,643.00,648.00,640.00,642.00,34732800,465.24
2006-07-10,643.50,646.00,637.00,645.00,32269500,467.41
2006-07-07,638.00,649.00,635.50,647.50,85667300,469.22
2006-07-06,635.00,642.00,631.00,638.00,47804500,462.34
2006-07-05,631.00,633.50,627.00,631.00,36724800,457.27
2006-07-04,637.00,671.71,628.00,633.00,40384900,458.71
2006-07-03,629.50,641.00,627.50,638.00,41904300,462.34
2006-06-30,627.00,638.27,630.50,630.50,64421400,456.90
2006-06-29,621.50,629.00,619.00,627.00,51380700,454.37
2006-06-28,613.50,624.00,611.50,618.50,49971400,448.21
2006-06-27,618.00,619.00,611.00,613.00,63852900,444.22
2006-06-26,618.00,618.50,606.04,609.50,111064200,441.68
2006-06-23,606.50,620.50,586.25,617.00,69320500,447.12
2006-06-22,609.00,614.42,601.00,605.00,86389600,438.42
2006-06-21,598.50,605.00,586.43,603.50,74350900,437.34
2006-06-20,591.00,608.09,583.85,602.50,115294900,436.61
2006-06-19,601.00,606.00,595.50,595.50,66107400,431.54
2006-06-16,610.00,612.92,599.00,599.00,116249400,434.08
2006-06-15,592.50,604.50,587.62,600.00,109959800,434.80
2006-06-14,591.00,598.50,581.00,586.00,87392800,424.66
2006-06-13,599.00,613.93,588.00,594.00,93690800,430.45
2006-06-12,612.50,615.89,605.50,607.50,51416600,440.24
2006-06-09,615.00,618.50,603.00,612.00,82800700,443.50
2006-06-08,605.00,639.52,601.12,603.00,122305000,436.97
2006-06-07,627.00,638.81,622.00,624.00,64952200,452.19
2006-06-06,629.00,634.00,625.50,628.00,72490600,455.09
2006-06-05,639.50,644.11,633.50,636.00,52199400,460.89
2006-06-02,637.00,641.00,627.85,633.50,60064200,459.08
2006-06-01,627.00,634.50,620.50,633.00,000,458.71
2006-05-31,620.00,638.38,617.00,625.00,000,452.92
