Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,423.95,428.81,421.80,424.80,7114600,405.90
2012-12-28,430.00,430.47,421.61,425.05,11197900,406.13
2012-12-27,430.00,432.40,425.55,428.45,12329100,409.38
2012-12-26,430.70,430.70,430.70,430.70,000,411.53
2012-12-25,430.70,430.70,430.70,430.70,000,411.53
2012-12-24,433.00,435.69,429.20,430.70,7460800,411.53
2012-12-21,428.60,432.68,423.80,430.75,40613400,411.58
2012-12-20,433.45,433.50,427.60,430.10,17216300,410.96
2012-12-19,429.75,432.40,427.00,431.30,26853700,412.11
2012-12-18,428.65,430.82,426.80,428.45,21649700,409.38
2012-12-17,427.60,428.36,423.05,427.00,20060500,408.00
2012-12-14,427.50,429.95,423.85,426.45,24235900,407.47
2012-12-13,430.00,432.28,427.20,428.75,18978800,409.67
2012-12-12,427.50,431.32,425.20,430.05,22733900,410.91
2012-12-11,425.10,429.89,424.33,427.50,15381500,408.48
2012-12-10,425.90,427.72,424.90,426.10,29288600,407.14
2012-12-07,427.80,429.70,423.55,426.05,29226100,407.09
2012-12-06,427.00,429.31,424.15,427.60,19904700,408.57
2012-12-05,426.70,427.41,420.50,425.50,27747600,406.56
2012-12-04,427.80,429.92,422.70,424.30,22537800,405.42
2012-12-03,433.55,434.95,428.36,430.15,21808100,411.01
2012-11-30,430.10,433.58,427.70,431.60,28903300,412.39
2012-11-29,430.00,432.10,428.35,431.05,26570000,411.87
2012-11-28,429.65,431.95,418.70,429.40,57634100,410.29
2012-11-27,434.45,435.51,429.65,431.25,17611500,412.06
2012-11-26,434.05,435.53,430.45,431.35,18910300,412.15
2012-11-23,435.25,437.26,432.00,435.50,12136700,416.12
2012-11-22,434.80,436.03,432.45,433.60,13223100,414.30
2012-11-21,430.75,434.67,429.05,433.00,18152200,413.73
2012-11-20,430.90,434.75,428.60,432.25,29860200,413.01
2012-11-19,422.50,431.70,422.00,431.60,37898200,412.39
2012-11-16,423.90,426.55,416.35,416.60,42108000,398.06
2012-11-15,422.00,434.65,421.10,425.40,49650200,406.47
2012-11-14,427.20,431.50,425.15,425.75,28814600,406.80
2012-11-13,427.25,429.00,423.00,428.80,28216400,409.72
2012-11-12,430.70,432.10,426.35,427.30,15216500,408.28
2012-11-09,426.75,431.45,422.85,429.20,26439700,410.10
2012-11-08,436.75,437.40,429.95,430.25,36890100,411.10
2012-11-07,443.90,447.99,432.80,432.90,49165300,413.63
2012-11-06,440.90,444.89,439.85,444.20,33153900,419.09
2012-11-05,443.05,443.70,437.75,441.20,26450800,416.26
2012-11-02,446.30,447.88,442.10,445.20,52323100,420.04
2012-11-01,442.10,446.78,437.70,444.50,30175600,419.37
2012-10-31,444.45,450.93,442.25,443.30,41985100,418.24
2012-10-30,439.50,449.57,437.05,442.85,33352800,417.82
2012-10-29,429.40,431.55,423.75,425.00,17831300,400.98
2012-10-26,429.25,434.70,427.14,431.60,22010000,407.20
2012-10-25,434.50,436.95,430.65,431.10,20265100,406.73
2012-10-24,434.95,439.10,431.75,435.00,64632400,410.41
2012-10-23,445.25,446.95,431.95,433.25,39440300,408.76
2012-10-22,450.00,459.35,440.60,443.45,44069000,418.38
2012-10-19,451.40,455.07,450.00,450.40,30161300,424.94
2012-10-18,449.35,464.71,448.25,452.05,31540600,426.50
2012-10-17,435.45,454.39,431.66,448.35,57833100,423.01
2012-10-16,431.55,436.80,429.84,435.35,21280600,410.74
2012-10-15,431.95,434.51,427.85,429.55,22600400,405.27
2012-10-12,437.30,439.35,431.35,431.45,29911300,407.06
2012-10-11,435.55,440.85,434.45,438.75,25951800,413.95
2012-10-10,435.75,438.30,432.00,436.05,16483300,411.40
2012-10-09,438.00,441.89,433.74,437.60,16547100,412.86
2012-10-08,433.85,438.00,433.15,437.00,11464700,412.30
2012-10-05,440.00,441.75,433.50,436.75,27577600,412.06
2012-10-04,439.00,439.85,430.25,434.20,30006700,409.66
2012-10-03,438.00,441.40,437.07,439.05,24945300,414.23
2012-10-02,436.45,439.76,433.65,438.35,16094000,413.57
2012-10-01,434.80,441.15,434.00,438.55,25569000,413.76
2012-09-28,441.10,444.35,436.50,436.50,24263700,411.83
2012-09-27,439.00,442.05,438.55,440.60,21256500,415.70
2012-09-26,442.35,444.31,437.80,438.35,18499300,413.57
2012-09-25,443.30,447.30,443.30,446.00,18198800,420.79
2012-09-24,438.80,444.52,438.05,443.00,28914600,417.96
2012-09-21,445.00,448.10,440.35,441.00,59350300,416.07
2012-09-20,442.80,445.69,438.75,444.30,27044000,419.19
2012-09-19,440.50,445.40,439.30,443.75,24278600,418.67
2012-09-18,444.20,446.00,436.80,438.95,37320800,414.14
2012-09-17,449.00,452.50,448.00,451.50,23430000,425.98
2012-09-14,448.85,454.17,447.95,450.20,48779300,424.75
2012-09-13,440.60,444.89,439.10,444.85,39153100,419.70
2012-09-12,442.90,443.35,437.95,441.00,25924200,416.07
2012-09-11,439.05,444.25,438.00,443.00,21169300,417.96
2012-09-10,434.75,441.75,431.00,437.80,24765700,413.05
2012-09-07,431.45,434.75,426.00,434.70,27007100,410.13
2012-09-06,424.75,431.93,422.20,431.45,28625400,407.06
2012-09-05,425.00,427.14,417.03,423.85,62116200,399.89
2012-09-04,444.65,444.65,435.90,436.60,22063300,411.92
2012-09-03,442.85,445.00,440.58,443.70,13346200,418.62
2012-08-31,441.30,445.90,440.05,441.35,25537300,416.40
2012-08-30,440.60,444.31,438.10,442.05,14042300,417.06
2012-08-29,443.05,444.75,441.60,441.95,15284100,416.97
2012-08-28,446.10,447.50,442.05,444.25,16303500,419.14
2012-08-27,444.55,444.55,444.55,444.55,000,419.42
2012-08-24,444.15,445.40,440.81,444.55,11828500,419.42
2012-08-23,447.35,450.00,444.77,445.45,15774400,420.27
2012-08-22,448.45,448.65,446.00,447.00,16844900,421.73
2012-08-21,452.50,452.90,448.45,450.65,19605700,425.18
2012-08-20,453.50,453.50,449.79,452.00,10274700,426.45
2012-08-17,453.00,456.00,451.50,454.35,17452000,428.67
2012-08-16,451.80,452.48,448.05,451.25,14920800,425.74
2012-08-15,449.90,452.22,447.60,450.00,17237000,424.56
2012-08-14,448.50,452.96,448.05,450.90,26653300,425.41
2012-08-13,448.20,449.70,446.20,446.85,13836300,421.59
2012-08-10,448.20,452.50,445.74,448.60,17395200,423.24
2012-08-09,451.50,453.55,446.30,448.90,55420400,423.53
2012-08-08,447.45,452.40,445.05,450.95,19989200,425.46
2012-08-07,443.90,453.80,443.90,453.80,30005700,423.42
2012-08-06,437.30,442.55,435.40,441.00,14633200,411.47
2012-08-03,430.00,438.31,429.55,437.95,18871100,408.63
2012-08-02,429.45,436.75,426.35,429.25,52216000,400.51
2012-08-01,422.50,428.60,421.15,428.05,25330400,399.39
2012-07-31,430.00,442.80,423.55,425.05,57887700,396.59
2012-07-30,438.95,446.60,436.85,444.45,24425400,414.69
2012-07-27,436.75,440.13,431.60,438.70,23756600,409.33
2012-07-26,428.10,433.88,422.55,432.70,19788400,403.73
2012-07-25,424.35,431.80,423.00,428.45,17440000,399.76
2012-07-24,434.00,437.71,426.95,427.85,20019500,399.20
2012-07-23,437.00,438.17,427.50,430.55,21839600,401.72
2012-07-20,443.95,445.00,438.77,439.85,33187900,410.40
2012-07-19,444.30,446.90,440.50,444.20,22677700,414.46
2012-07-18,443.00,446.05,440.10,444.90,31489300,415.11
2012-07-17,442.00,446.98,439.85,444.00,27113500,414.27
2012-07-16,436.50,443.17,436.10,441.50,21280400,411.94
2012-07-13,436.50,442.00,435.60,438.10,26861300,408.77
2012-07-12,431.35,435.90,428.60,435.10,28408400,405.97
2012-07-11,425.90,432.80,423.80,432.55,16536600,403.59
2012-07-10,425.25,430.40,422.60,428.50,17512400,399.81
