Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,460.05,461.75,456.12,460.50,6063000,419.97
2011-12-29,457.50,460.85,454.00,460.85,8684600,420.28
2011-12-28,460.00,461.58,451.10,455.75,13611400,415.63
2011-12-27,459.70,459.70,459.70,459.70,000,419.24
2011-12-26,459.70,459.70,459.70,459.70,000,419.24
2011-12-23,458.90,460.42,455.00,459.70,7037800,419.24
2011-12-22,443.40,453.60,442.45,450.30,17563400,410.66
2011-12-21,448.75,449.64,435.60,439.55,23711800,400.86
2011-12-20,436.55,445.70,433.00,444.00,19921400,404.92
2011-12-19,440.60,442.30,434.40,437.65,23695100,399.13
2011-12-16,448.00,449.95,443.65,445.75,44121800,406.51
2011-12-15,443.05,452.40,442.00,447.85,32951700,408.43
2011-12-14,448.80,451.05,440.20,440.95,25181100,402.14
2011-12-13,445.45,456.80,443.80,452.25,20873900,412.44
2011-12-12,451.60,452.35,444.55,444.55,21116000,405.42
2011-12-09,446.35,459.15,446.35,452.05,21449800,412.26
2011-12-08,457.05,460.73,448.00,451.10,38712200,411.39
2011-12-07,469.95,471.45,455.30,460.05,30265000,419.55
2011-12-06,460.80,470.35,460.70,465.55,29731200,424.57
2011-12-05,468.30,469.60,461.00,466.30,21112900,425.25
2011-12-02,459.90,466.40,458.50,464.80,25187200,423.89
2011-12-01,459.55,465.29,453.75,454.35,29459200,414.36
2011-11-30,436.70,464.89,435.00,460.75,70930700,420.19
2011-11-29,437.00,443.55,433.45,438.80,24164800,400.18
2011-11-28,431.70,439.58,427.50,437.80,30698800,399.26
2011-11-25,419.25,430.62,416.99,425.40,19057300,387.95
2011-11-24,426.00,428.08,418.04,420.55,25289300,383.53
2011-11-23,431.85,432.73,424.90,426.40,31714500,388.87
2011-11-22,443.00,445.16,434.73,435.80,26810600,397.44
2011-11-21,447.85,447.85,439.56,440.00,28486100,401.27
2011-11-18,450.40,454.12,447.55,449.95,23759000,410.34
2011-11-17,461.45,462.00,448.63,455.60,32754200,415.50
2011-11-16,455.40,465.47,452.34,464.25,28970900,423.38
2011-11-15,454.15,458.46,450.39,457.15,23059400,416.91
2011-11-14,461.85,461.89,456.27,458.80,14212300,418.41
2011-11-11,450.05,459.15,447.20,458.30,19878100,417.96
2011-11-10,441.25,452.30,440.17,448.65,23173300,409.16
2011-11-09,461.45,466.05,444.15,450.00,41095300,410.39
2011-11-08,454.05,463.47,453.00,457.30,23176900,417.05
2011-11-07,444.95,456.95,442.70,452.80,25674300,412.94
