Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,5566.80,5588.40,5535.20,5572.30,188110800,5572.30
2011-12-29,5507.40,5566.80,5496.90,5566.80,326449000,5566.80
2011-12-28,5512.70,5567.90,5491.00,5507.40,449839600,5507.40
2011-12-23,5457.00,5516.60,5457.00,5512.70,204750000,5512.70
2011-12-22,5389.70,5469.00,5389.70,5457.00,617195800,5457.00
2011-12-21,5419.60,5479.20,5371.60,5389.70,803794200,5389.70
2011-12-20,5365.00,5426.30,5328.70,5419.60,779731400,5419.60
2011-12-19,5387.30,5410.10,5343.10,5365.00,632321200,5365.00
2011-12-16,5400.90,5452.60,5387.30,5387.30,1274144100,5387.30
2011-12-15,5366.80,5434.00,5366.80,5400.90,803271600,5400.90
2011-12-14,5490.10,5490.10,5366.80,5366.80,860719600,5366.80
2011-12-13,5427.90,5526.00,5413.70,5490.10,757732000,5490.10
2011-12-12,5529.20,5529.20,5427.90,5427.90,815332200,5427.90
2011-12-09,5483.80,5540.50,5440.90,5529.20,841896600,5529.20
2011-12-08,5546.90,5605.30,5483.80,5483.80,907438000,5483.80
2011-12-07,5568.70,5631.90,5498.00,5546.90,932154800,5546.90
2011-12-06,5568.00,5593.00,5521.90,5568.70,857312600,5568.70
2011-12-05,5552.30,5602.80,5545.90,5568.00,900658000,5568.00
2011-12-02,5489.30,5595.50,5489.10,5552.30,984099600,5552.30
2011-12-01,5505.40,5553.90,5486.90,5489.30,939174800,5489.30
2011-11-30,5337.00,5539.00,5275.00,5505.40,1647245400,5505.40
2011-11-29,5312.80,5344.20,5272.40,5337.00,798981400,5337.00
2011-11-28,5164.60,5327.80,5164.60,5312.80,899087000,5312.80
2011-11-25,5127.60,5200.30,5075.20,5164.60,733865200,5164.60
2011-11-24,5139.80,5184.30,5099.00,5127.60,856602400,5127.60
2011-11-23,5206.80,5206.80,5139.80,5139.80,1009697900,5139.80
2011-11-22,5222.60,5282.00,5206.80,5206.80,915478600,5206.80
2011-11-21,5362.90,5362.90,5221.70,5222.60,955270000,5222.60
2011-11-18,5423.10,5423.10,5347.90,5362.90,826014000,5362.90
2011-11-17,5509.00,5509.00,5366.10,5423.10,1059574600,5423.10
2011-11-16,5517.40,5562.90,5450.20,5509.00,941320000,5509.00
2011-11-15,5519.00,5551.40,5428.60,5517.40,842112000,5517.40
2011-11-14,5545.40,5575.20,5489.30,5519.00,687675200,5519.00
2011-11-11,5444.80,5548.80,5439.80,5545.40,721167400,5545.40
2011-11-10,5460.40,5497.20,5360.20,5444.80,799967600,5444.80
2011-11-09,5567.30,5615.80,5426.30,5460.40,1074608400,5460.40
2011-11-08,5510.80,5616.00,5509.60,5567.30,885001600,5567.30
2011-11-07,5527.20,5557.80,5432.20,5510.80,730611200,5510.80
2011-11-04,5545.60,5599.50,5495.40,5527.20,873169200,5527.20
2011-11-03,5484.10,5564.50,5402.60,5545.60,1232998000,5545.60
2011-11-02,5421.60,5493.30,5383.40,5484.10,1363052700,5484.10
2011-11-01,5544.20,5544.20,5338.40,5421.60,1335198700,5421.60
2011-10-31,5702.20,5702.20,5544.20,5544.20,1079784200,5544.20
2011-10-28,5713.80,5746.90,5685.00,5702.20,997550600,5702.20
2011-10-27,5553.20,5747.30,5553.20,5713.80,1454233000,5713.80
2011-10-26,5525.50,5576.60,5498.50,5553.20,708484200,5553.20
2011-10-25,5548.10,5574.10,5465.50,5525.50,777723200,5525.50
2011-10-24,5488.60,5552.80,5487.20,5548.10,677901200,5548.10
2011-10-21,5384.70,5500.50,5384.70,5488.60,730196000,5488.60
2011-10-20,5450.50,5450.50,5363.20,5384.70,797352400,5384.70
2011-10-19,5410.40,5483.80,5410.40,5450.50,723007400,5450.50
2011-10-18,5436.70,5436.70,5348.60,5410.40,754537000,5410.40
2011-10-17,5466.40,5543.70,5405.20,5436.70,720599600,5436.70
2011-10-14,5403.40,5501.40,5395.60,5466.40,674572200,5466.40
2011-10-13,5441.80,5456.10,5368.40,5403.40,912369000,5403.40
