Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,475.00,475.00,465.55,465.55,9444100,408.64
2010-12-30,471.85,474.90,468.05,471.20,11015100,413.59
2010-12-29,473.35,475.95,469.75,473.35,12585000,415.48
2010-12-27,474.55,474.55,474.55,474.55,000,416.54
2010-12-24,475.75,478.50,471.80,474.55,2045600,416.54
2010-12-23,472.90,477.30,472.50,476.65,16880400,418.38
2010-12-22,471.65,472.05,467.95,470.00,17503100,412.54
2010-12-21,470.00,472.95,470.00,472.45,19398900,414.69
2010-12-20,466.25,471.50,465.20,469.10,27599800,411.75
2010-12-17,468.80,470.60,464.20,467.15,52272500,410.04
2010-12-16,470.00,470.00,470.00,470.00,58391600,412.54
2010-12-15,469.55,479.00,467.30,476.55,46026100,418.29
2010-12-14,458.35,475.10,457.20,473.10,62475400,415.26
2010-12-13,453.35,462.50,452.00,458.35,23466700,402.32
2010-12-10,452.00,456.80,449.15,455.00,24701200,399.38
2010-12-09,456.15,458.30,452.05,455.40,21956500,399.73
2010-12-08,454.00,462.58,452.30,456.65,35534200,400.82
2010-12-07,452.00,461.00,452.00,455.00,43869300,399.38
2010-12-06,439.50,451.00,436.75,450.00,36016900,394.99
2010-12-03,443.45,444.00,435.20,435.20,34823500,382.00
2010-12-02,435.50,442.90,433.10,441.60,38756600,387.61
2010-12-01,427.35,433.55,426.15,429.85,29597500,377.30
2010-11-30,431.30,432.90,425.00,425.95,41282600,373.88
2010-11-29,438.00,442.90,428.25,428.25,35406600,375.90
2010-11-26,434.05,439.45,430.00,436.00,18157700,382.70
2010-11-25,436.50,438.60,433.00,437.40,13310200,383.93
2010-11-24,432.20,439.85,428.15,437.00,34456200,383.58
2010-11-23,430.00,435.45,428.35,428.75,29930500,376.33
2010-11-22,439.50,440.95,429.70,431.00,22630600,378.31
2010-11-19,440.25,441.00,431.55,435.85,23692200,382.57
2010-11-18,437.55,442.55,434.30,438.25,18193900,384.67
2010-11-17,434.05,436.60,432.70,435.60,24645300,382.35
2010-11-16,444.75,446.60,435.55,435.65,29280400,382.39
2010-11-15,444.00,452.85,442.00,448.70,23832100,393.85
2010-11-12,443.70,452.20,441.30,445.95,31960800,391.43
2010-11-11,449.10,452.80,445.00,449.80,31886400,394.81
2010-11-10,449.05,450.20,444.00,445.45,42858600,390.99
2010-11-09,445.25,459.20,443.05,454.45,54265200,398.89
2010-11-08,447.90,449.00,442.10,444.00,28103100,389.72
2010-11-05,447.95,451.35,441.75,446.35,41947300,391.78
2010-11-04,441.05,446.95,439.05,445.10,39724500,390.69
2010-11-03,434.95,444.25,433.65,439.30,49097500,385.59
2010-11-02,425.50,432.55,424.50,431.65,35408800,378.88
2010-11-01,426.05,428.30,420.70,424.00,21893600,372.17
2010-10-29,422.75,428.75,420.95,425.80,36890800,373.75
2010-10-28,423.35,428.10,420.55,423.00,26311500,371.29
2010-10-27,426.35,426.35,418.25,419.05,39769600,367.82
2010-10-26,428.05,431.40,422.10,426.35,24878700,374.23
2010-10-25,434.20,434.95,428.00,428.65,19924200,376.25
2010-10-22,430.05,434.60,427.25,428.70,25308800,376.29
2010-10-21,430.20,434.95,426.90,432.50,38257800,379.63
2010-10-20,435.40,435.85,428.45,435.40,24669500,382.17
2010-10-19,432.35,436.80,427.00,435.70,39034900,382.43
2010-10-18,425.95,433.90,423.15,432.15,27337900,379.32
2010-10-15,430.00,430.00,420.20,425.45,38004000,373.44
2010-10-14,436.70,437.30,428.50,429.70,27609800,377.17
2010-10-13,436.70,439.00,433.70,436.95,29230600,383.53
2010-10-12,432.00,432.00,425.05,429.15,20626000,376.69
2010-10-11,433.00,434.90,430.25,432.35,19645700,379.49
2010-10-08,436.00,436.70,431.35,435.85,16826500,382.57
2010-10-07,434.00,438.95,432.85,437.05,35636300,383.62
2010-10-06,432.20,439.10,429.40,435.55,30207500,382.30
2010-10-05,428.15,434.70,428.10,431.50,30166500,378.75
2010-10-04,441.05,442.00,430.10,430.10,28560100,377.52
2010-10-01,436.00,443.50,432.00,440.50,57641800,386.65
2010-09-30,422.25,436.15,419.80,427.80,77089600,375.50
2010-09-29,410.65,424.45,410.30,421.00,72050100,369.53
2010-09-28,405.00,406.00,397.00,405.15,41353600,355.62
2010-09-27,408.00,408.00,402.75,403.90,31686400,354.52
2010-09-24,403.85,410.00,400.75,404.90,39337400,355.40
2010-09-23,409.00,409.00,401.30,405.10,28312200,355.58
2010-09-22,413.50,415.00,405.80,406.25,33805800,356.59
2010-09-21,410.85,418.75,409.05,414.80,33817100,364.09
2010-09-20,407.65,411.95,407.00,411.35,29267900,361.06
2010-09-17,412.00,414.00,403.05,403.05,49089900,353.78
2010-09-16,408.00,413.15,405.95,408.45,29740300,358.52
2010-09-15,415.05,415.20,404.10,404.10,37259000,354.70
2010-09-14,416.80,418.70,414.25,415.20,23432800,364.44
2010-09-13,414.25,417.35,412.35,416.05,27401900,365.19
2010-09-10,412.00,414.40,408.55,411.65,30158100,361.32
2010-09-09,410.00,417.95,408.75,415.45,27029300,364.66
2010-09-08,404.00,416.65,404.00,412.15,42034900,361.76
2010-09-07,407.00,410.25,403.70,406.80,29854300,357.07
2010-09-06,405.00,409.75,404.00,406.50,23239600,356.80
2010-09-03,394.00,401.70,392.75,401.70,30554100,352.59
2010-09-02,391.00,394.45,385.55,392.60,35409400,344.60
2010-09-01,383.50,391.20,375.75,388.75,40378000,341.22
2010-08-31,377.00,381.15,372.00,380.60,60372800,334.07
2010-08-30,379.65,379.65,379.65,379.65,000,333.24
2010-08-27,379.60,382.60,374.20,379.65,35384100,333.24
2010-08-26,381.00,387.30,380.05,385.60,32836800,338.46
2010-08-25,375.05,378.45,365.50,375.15,51479400,329.29
2010-08-24,385.05,386.35,373.20,377.50,41315500,331.35
2010-08-23,382.00,394.90,382.00,390.60,28722400,342.85
2010-08-20,386.05,389.90,371.55,388.35,50435200,340.87
2010-08-19,399.60,402.00,386.40,386.70,43775200,339.43
2010-08-18,404.90,406.95,396.15,397.60,38057900,348.99
2010-08-17,406.25,409.90,403.65,408.00,36499200,358.12
2010-08-16,416.30,416.65,406.15,409.75,24275100,359.66
2010-08-13,414.80,417.85,401.80,416.40,39011500,365.49
2010-08-12,410.05,413.65,401.10,410.05,37516500,359.92
2010-08-11,415.25,420.00,410.10,411.00,28041900,360.75
2010-08-10,428.20,431.50,417.90,419.35,34319800,368.08
2010-08-09,434.20,436.90,430.00,432.75,34109900,379.85
2010-08-06,429.75,438.25,423.70,425.35,51590000,373.35
2010-08-05,418.00,434.50,418.00,423.40,73604500,371.64
2010-08-04,418.00,425.90,408.60,421.65,63286200,370.10
2010-08-03,412.95,415.65,407.00,415.65,26096800,364.84
2010-08-02,410.00,415.75,405.30,413.10,27643600,362.60
2010-07-30,408.00,413.40,404.30,405.95,35120700,356.32
2010-07-29,407.00,416.25,399.40,413.45,34819900,362.90
2010-07-28,410.05,411.50,396.15,402.50,37538200,353.29
2010-07-27,418.80,421.80,401.50,406.00,71455100,356.37
2010-07-26,409.95,417.65,403.10,416.95,38774400,365.98
2010-07-23,397.00,403.20,393.10,398.60,32564700,349.87
2010-07-22,396.00,406.95,390.10,400.00,42001800,351.10
2010-07-21,390.00,403.00,390.00,399.90,75345300,351.01
2010-07-20,396.00,399.05,381.45,387.45,49163500,340.08
2010-07-19,399.00,401.00,376.85,387.85,80607100,340.43
2010-07-16,424.90,426.45,403.70,407.15,123608200,357.38
2010-07-15,395.95,405.20,392.90,401.75,52938200,352.64
2010-07-14,410.00,411.50,391.00,401.00,103318900,351.98
2010-07-13,409.95,419.85,402.20,410.35,90788000,360.18
2010-07-12,381.55,402.55,378.00,398.95,87478300,350.18
2010-07-09,369.05,375.00,358.20,364.80,50038000,320.20
2010-07-08,366.00,375.00,363.00,367.00,86251600,322.13
2010-07-07,347.40,364.25,346.60,362.05,91138400,317.79
2010-07-06,342.00,349.45,338.00,345.50,62190800,303.26
2010-07-05,324.55,339.90,323.00,333.30,31036000,292.55
2010-07-02,326.00,330.35,320.45,322.00,50124000,282.63
2010-07-01,320.00,338.30,312.65,327.95,103306600,287.86
2010-06-30,312.00,330.85,309.55,318.90,124637900,279.91
