Date,Open,High,Low,Close,Volume,Adj Close
2005-12-30,618.00,622.00,616.00,619.00,22941800,441.57
2005-12-29,621.00,627.00,619.50,623.00,22146400,444.42
2005-12-28,612.00,621.00,587.00,621.00,35658900,443.00
2005-12-27,621.50,621.50,621.50,621.50,000,443.35
2005-12-26,621.50,621.50,621.50,621.50,000,443.35
2005-12-23,624.50,625.00,619.50,621.50,10423800,443.35
2005-12-22,625.00,627.00,621.00,622.50,33691000,444.07
2005-12-21,619.00,630.00,619.00,625.00,69348600,445.85
2005-12-20,618.50,631.13,616.50,620.00,89458800,442.28
2005-12-19,616.00,624.00,621.00,621.00,51284600,443.00
2005-12-16,626.00,624.00,600.00,624.00,102995200,445.14
2005-12-15,632.00,633.00,623.00,624.00,93414300,445.14
2005-12-14,630.50,659.00,628.00,630.00,74802100,449.42
2005-12-13,633.00,638.50,633.00,634.00,66333000,452.27
2005-12-12,637.00,644.68,628.50,630.50,78882400,449.77
2005-12-09,646.50,651.00,639.50,640.00,349895000,456.55
2005-12-08,644.00,679.50,636.84,651.00,55322400,464.40
2005-12-07,661.00,667.00,646.50,646.50,66923000,461.19
2005-12-06,658.50,660.50,652.91,660.00,43804600,470.82
2005-12-05,659.00,661.50,655.00,659.00,43869400,470.10
2005-12-02,652.50,658.00,649.50,656.50,51385900,468.32
2005-12-01,637.00,650.78,634.00,649.50,60591200,463.33
2005-11-30,637.50,641.50,634.00,634.00,79519600,452.27
2005-11-29,639.00,645.00,632.47,641.50,83161300,457.62
2005-11-28,663.00,664.00,644.50,644.50,44167100,459.76
2005-11-25,659.00,661.50,655.00,661.00,25850200,471.53
2005-11-24,658.50,663.50,650.50,657.00,26046100,468.68
2005-11-23,663.50,666.00,631.00,657.50,49376100,469.03
2005-11-22,656.50,665.50,655.38,663.50,43813500,473.31
2005-11-21,647.00,657.00,644.00,653.50,102168300,466.18
2005-11-18,637.00,650.42,629.44,644.00,65645600,459.40
2005-11-17,631.50,644.47,631.50,637.00,52100900,454.41
2005-11-16,627.50,632.20,620.50,630.50,58846800,449.77
2005-11-15,628.00,636.00,626.00,634.00,50492100,452.27
2005-11-14,621.50,630.26,616.42,628.00,67298100,447.99
2005-11-11,619.50,736.00,612.50,618.50,52530500,441.21
2005-11-10,628.00,632.50,614.00,614.00,87283600,438.00
2005-11-09,637.50,642.50,626.50,627.00,70095700,447.28
2005-11-08,635.00,640.00,632.00,640.00,68370900,452.94
2005-11-07,634.50,641.00,558.50,635.50,51065800,449.76
2005-11-04,646.50,651.00,636.21,638.00,71497900,451.52
2005-11-03,633.50,642.00,625.50,640.50,64207700,453.29
2005-11-02,626.00,633.50,615.37,628.00,58385000,444.45
2005-11-01,626.50,629.63,618.50,629.00,72599400,445.16
2005-10-31,624.50,635.50,615.37,624.00,90052000,441.62
2005-10-28,609.00,624.07,608.50,617.50,000,437.02
2005-10-27,622.00,626.50,611.50,613.50,98599200,434.19
2005-10-26,621.00,645.50,618.00,626.50,114909500,443.39
2005-10-25,608.00,618.71,609.00,609.00,83561400,431.00
2005-10-24,605.00,618.35,603.53,616.50,48032900,436.31
