Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,525.75,529.00,523.00,526.00,10421700,424.11
2008-12-30,521.50,526.25,517.50,520.00,21224800,419.27
2008-12-29,510.75,520.75,505.00,514.25,25582400,414.63
2008-12-26,496.00,496.00,496.00,496.00,000,399.92
2008-12-25,496.00,496.00,496.00,496.00,000,399.92
2008-12-24,490.25,499.25,490.25,496.00,8884800,399.92
2008-12-23,501.00,513.50,501.00,504.75,22550900,406.97
2008-12-22,500.00,517.75,497.00,502.00,37323500,404.76
2008-12-19,512.25,517.00,490.00,505.00,100374000,407.18
2008-12-18,534.00,537.25,520.50,524.50,48683200,422.90
2008-12-17,527.00,540.50,520.50,535.50,70690700,431.77
2008-12-16,514.50,530.00,513.25,523.75,43660200,422.29
2008-12-15,525.50,531.50,514.86,524.75,38034800,423.10
2008-12-12,511.00,522.75,500.00,516.25,69111200,416.25
2008-12-11,515.00,541.25,501.83,537.25,63454500,433.18
2008-12-10,529.25,532.25,510.50,512.50,62149500,413.22
2008-12-09,509.00,532.00,502.50,525.25,58121600,423.50
2008-12-08,504.25,519.50,495.75,508.50,82174400,410.00
2008-12-05,498.25,500.00,476.00,478.00,74199700,385.41
2008-12-04,507.75,517.50,496.25,511.75,56573200,412.62
2008-12-03,507.50,512.50,490.00,506.00,55634100,407.98
2008-12-02,486.00,514.75,485.25,508.75,64712500,410.20
2008-12-01,524.50,528.00,495.50,496.00,56810700,399.92
2008-11-28,532.50,534.50,518.00,526.75,65737000,424.71
2008-11-27,523.00,533.50,519.50,530.25,41127300,427.53
2008-11-26,510.00,521.50,493.50,512.75,62937900,413.42
2008-11-25,511.00,540.00,504.49,520.50,111445700,419.67
2008-11-24,480.00,513.00,467.00,513.00,87801900,413.63
2008-11-21,463.00,484.22,452.00,462.25,73997200,372.71
2008-11-20,484.00,493.75,458.00,464.00,82365200,374.12
2008-11-19,508.00,514.00,485.25,488.00,71352600,393.47
2008-11-18,490.50,510.25,481.00,507.50,60913100,409.19
2008-11-17,491.00,498.75,481.00,487.75,58268800,393.27
2008-11-14,496.00,509.00,484.25,488.00,72977400,393.47
2008-11-13,468.00,477.20,450.23,471.00,92656400,379.76
2008-11-12,504.75,512.50,474.25,476.25,76687600,384.00
2008-11-11,511.00,516.00,497.75,499.25,61814400,396.19
2008-11-10,534.50,538.57,517.00,519.75,55190000,412.46
2008-11-07,504.00,524.00,498.24,515.00,83200900,408.69
2008-11-06,505.00,517.00,491.00,493.00,78460500,391.23
2008-11-05,530.00,530.50,512.00,523.00,51164900,415.04
2008-11-04,513.00,533.50,504.00,533.25,66132200,423.18
2008-11-03,513.00,515.00,498.00,508.25,52542000,403.34
2008-10-31,494.50,509.50,448.83,507.25,65272100,402.54
2008-10-30,517.00,518.75,482.00,494.50,94283700,392.42
2008-10-29,485.00,510.00,420.78,505.75,114923500,401.35
2008-10-28,472.00,476.50,444.50,461.50,101975600,366.24
2008-10-27,429.00,447.50,411.50,438.00,83081500,347.59
2008-10-24,450.00,450.00,412.00,440.00,112487100,349.17
2008-10-23,452.00,469.00,430.00,465.00,90047400,369.01
2008-10-22,466.50,468.50,439.25,442.75,77773700,351.36
2008-10-21,489.75,491.75,463.25,468.50,69560600,371.79
2008-10-20,444.75,476.75,442.00,476.75,123917300,378.34
2008-10-17,424.00,433.50,397.25,431.75,137440800,342.63
2008-10-16,401.00,423.00,389.50,397.50,139132500,315.45
2008-10-15,446.50,450.00,410.00,414.25,114513700,328.74
2008-10-14,449.00,462.25,432.00,446.75,151114200,354.53
2008-10-13,401.75,418.75,392.25,418.25,117710900,331.91
2008-10-10,379.50,475.00,370.00,376.25,181682000,298.58
2008-10-09,428.00,436.00,406.25,409.50,108775000,324.97
2008-10-08,428.00,455.00,400.75,417.00,160884900,330.92
2008-10-07,439.75,453.75,427.50,447.25,101251100,354.93
2008-10-06,441.75,452.00,422.50,429.75,108863000,341.04
2008-10-03,448.25,471.50,441.50,467.75,66530800,371.20
2008-10-02,470.50,475.00,449.50,450.00,75559400,357.11
2008-10-01,471.75,477.50,457.50,464.00,74741900,368.22
2008-09-30,455.50,471.25,446.00,464.00,90692600,368.22
2008-09-29,487.00,489.90,467.00,467.00,53599700,370.60
2008-09-26,494.75,495.00,484.50,488.50,39408200,387.66
2008-09-25,484.75,499.25,481.75,498.00,42544400,395.20
2008-09-24,494.50,495.00,481.75,487.00,42495300,386.47
2008-09-23,498.00,501.00,488.25,491.50,64889900,390.04
2008-09-22,495.00,510.50,489.00,500.25,63926400,396.99
2008-09-19,470.00,500.00,468.50,490.25,164133200,389.05
2008-09-18,474.00,482.50,464.00,464.50,105896700,368.62
2008-09-17,481.75,485.25,471.75,472.25,97402600,374.77
2008-09-16,488.00,488.00,471.00,476.00,111734100,377.74
2008-09-15,498.25,503.75,484.00,491.50,95215000,390.04
2008-09-12,506.50,511.25,502.00,510.00,49139000,404.73
2008-09-11,507.25,511.25,497.20,502.00,55610100,398.38
2008-09-10,504.00,514.25,500.50,502.00,64961200,398.38
2008-09-09,520.00,524.00,504.00,507.25,93115100,402.54
2008-09-08,512.50,517.00,510.00,517.00,36192000,410.28
2008-09-05,508.00,515.75,487.96,499.25,92629400,396.19
2008-09-04,518.50,530.75,505.50,505.50,116381400,401.15
2008-09-03,508.25,521.75,498.93,506.00,76374000,401.55
2008-09-02,515.25,516.75,507.25,511.50,70895700,405.92
2008-09-01,523.75,536.00,517.46,521.00,29714500,413.45
2008-08-29,521.75,530.75,520.75,528.75,47074600,419.60
2008-08-28,526.00,530.00,520.50,522.25,46588400,414.45
2008-08-27,518.50,528.50,516.00,525.75,47292900,417.22
2008-08-26,509.50,519.50,504.75,516.25,49548300,409.69
2008-08-25,519.25,519.25,519.25,519.25,000,412.07
2008-08-22,519.50,521.50,511.00,519.25,43642000,412.07
2008-08-21,511.00,518.75,507.25,517.00,67229000,410.28
2008-08-20,511.50,524.26,510.50,510.75,55381000,405.32
2008-08-19,510.50,518.50,506.50,507.00,57363300,402.34
2008-08-18,513.25,523.50,511.17,514.50,36244400,408.30
2008-08-15,524.25,535.50,514.50,515.50,49056000,409.09
2008-08-14,532.00,542.17,503.31,527.00,52305600,418.22
2008-08-13,529.75,535.27,521.00,524.50,53382300,416.23
2008-08-12,523.75,537.75,522.10,535.00,55034700,418.98
2008-08-11,521.00,529.33,516.50,525.00,32864900,411.15
2008-08-08,528.50,531.50,515.75,519.50,50784500,406.84
2008-08-07,525.00,536.50,524.75,532.00,58265300,416.63
2008-08-06,511.50,524.50,507.50,521.00,62289800,408.01
2008-08-05,514.00,514.00,502.50,512.00,67997000,400.97
2008-08-04,519.50,534.50,516.00,518.00,43227700,405.66
2008-08-01,518.50,525.00,386.49,521.25,51949600,408.21
2008-07-31,521.00,527.00,514.50,521.50,71847500,408.41
2008-07-30,509.50,517.25,507.00,511.00,56881700,400.18
2008-07-29,529.00,538.00,504.75,506.75,87859500,396.85
2008-07-28,516.00,525.00,513.25,519.50,48251900,406.84
2008-07-25,516.00,525.25,512.50,517.50,68151400,405.27
2008-07-24,518.75,523.00,508.50,512.50,67112100,401.36
2008-07-23,533.00,533.00,519.50,521.75,47827000,408.60
