Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,605.40,605.40,600.00,600.00,5403300,518.88
2009-12-30,602.40,606.20,598.60,601.40,7301700,520.09
2009-12-29,613.30,613.40,604.70,605.00,13430700,523.20
2009-12-28,608.50,608.50,608.50,608.50,000,526.23
2009-12-24,603.00,608.70,603.00,608.50,4780000,526.23
2009-12-23,602.90,605.90,600.70,604.30,13900400,522.60
2009-12-22,592.20,601.20,592.20,597.50,19338900,516.72
2009-12-21,576.80,595.40,576.40,591.10,22584400,511.18
2009-12-18,578.80,587.70,575.20,576.50,80562100,498.55
2009-12-17,577.30,581.00,574.30,574.30,26863900,496.65
2009-12-16,577.80,584.80,573.30,579.10,29807500,500.80
2009-12-15,581.60,582.30,572.20,579.00,23761000,500.72
2009-12-14,577.60,585.00,577.60,581.00,21442400,502.45
2009-12-11,577.10,582.90,574.30,575.20,21055400,497.43
2009-12-10,575.10,580.90,572.40,573.70,26286900,496.13
2009-12-09,579.30,581.10,572.00,576.40,31368400,498.47
2009-12-08,588.60,594.00,580.20,581.10,35295200,502.53
2009-12-07,581.10,592.50,577.50,587.60,32338200,508.15
2009-12-04,581.90,591.20,578.10,584.70,33889500,505.65
2009-12-03,590.30,592.00,579.80,582.40,49543400,503.66
2009-12-02,588.00,588.80,580.30,585.60,21487600,506.42
2009-12-01,580.60,587.90,578.50,586.70,37418700,507.38
2009-11-30,589.90,589.90,574.40,574.60,38977100,496.91
2009-11-27,562.50,588.20,562.50,583.80,26200300,504.87
2009-11-26,588.30,588.30,570.80,574.00,24824600,496.39
2009-11-25,592.00,592.00,584.50,589.70,68195000,509.97
2009-11-24,586.90,591.90,583.00,587.00,47663200,507.63
2009-11-23,582.20,591.50,582.00,588.70,21788300,509.10
2009-11-20,581.20,585.30,575.00,579.00,40754500,500.72
2009-11-19,590.60,591.60,578.00,581.50,30228700,502.88
2009-11-18,592.50,593.90,586.70,589.00,20660100,509.36
2009-11-17,583.70,589.70,582.00,587.50,26296200,508.07
2009-11-16,582.30,592.40,579.30,588.30,22336700,508.76
2009-11-13,580.80,583.00,575.50,581.10,18440800,502.53
2009-11-12,583.00,585.80,576.70,578.40,25946600,500.20
2009-11-11,590.30,592.90,582.60,583.60,28821800,504.69
2009-11-10,596.00,599.30,592.60,593.40,39951200,505.81
2009-11-09,586.00,596.00,584.00,595.10,13221200,507.26
2009-11-06,586.10,587.90,575.00,583.90,28412700,497.71
2009-11-05,578.00,590.70,576.70,587.10,26688200,500.44
2009-11-04,582.40,588.00,576.00,581.40,32478800,495.58
2009-11-03,579.00,583.90,573.30,580.30,32742300,494.64
2009-11-02,571.90,587.60,567.90,584.70,26171800,498.39
2009-10-30,582.10,587.80,568.90,572.30,39913200,487.82
2009-10-29,580.10,588.50,577.00,586.50,44584000,499.93
2009-10-28,589.00,592.20,577.70,584.40,54072000,498.14
2009-10-27,590.90,598.00,584.70,594.40,78829500,506.66
2009-10-26,564.40,576.90,564.40,567.10,29785500,483.39
2009-10-23,572.50,572.80,562.50,565.00,21369200,481.60
2009-10-22,565.00,567.50,558.00,565.00,28938100,481.60
2009-10-21,571.00,576.42,560.40,573.00,34725300,488.42
2009-10-20,579.00,579.00,565.80,569.00,28641800,485.01
2009-10-19,559.00,574.50,559.00,574.20,36971200,489.44
2009-10-16,559.90,569.50,558.40,559.10,50173800,476.57
2009-10-15,555.20,559.97,554.90,555.60,37485500,473.59
2009-10-14,552.20,563.90,551.00,559.00,41229600,476.49
2009-10-13,553.20,554.57,546.80,546.80,28562600,466.09
2009-10-12,549.00,554.20,546.30,552.20,31573700,470.69
2009-10-09,543.50,549.70,538.40,542.50,35571400,462.42
2009-10-08,547.10,548.90,537.60,545.50,28813700,464.98
2009-10-07,548.60,548.60,539.20,540.60,33142000,460.80
2009-10-06,537.10,553.10,535.00,550.20,38701000,468.99
2009-10-05,531.80,535.20,527.97,535.20,35712200,456.20
2009-10-02,539.50,542.80,530.00,535.30,31203100,456.29
2009-10-01,551.00,557.40,540.70,541.00,34506700,461.14
2009-09-30,560.50,560.50,548.10,553.00,28339000,471.37
2009-09-29,562.70,562.70,553.80,558.90,19098200,476.40
2009-09-28,551.20,559.60,546.10,559.00,24195400,476.49
2009-09-25,550.00,557.00,548.10,548.80,31877800,467.79
2009-09-24,551.20,560.90,546.00,546.30,32255100,465.66
2009-09-23,561.90,565.30,551.00,552.80,22602800,471.20
